Date,Forecasted_Sales
2015-08-01,9264.485386983706
2015-08-02,8889.974049108641
2015-08-03,9139.49156177845
2015-08-04,9662.161547169142
2015-08-05,10202.198399252698
2015-08-06,10392.99768514268
2015-08-07,9590.361022058138
2015-08-08,9635.908457252517
2015-08-09,9770.787313001167
2015-08-10,9884.401675556093
2015-08-11,9915.072933520627
2015-08-12,9860.81531857853
2015-08-13,9775.268477435277
2015-08-14,9806.463193995905
2015-08-15,9836.487761632585
2015-08-16,9847.445524472136
2015-08-17,9840.012340025323
2015-08-18,9827.101070887884
2015-08-19,9822.060532053969
2015-08-20,9830.032901120627
2015-08-21,9834.060205619073
2015-08-22,9833.506125518545
2015-08-23,9831.024204404453
2015-08-24,9829.55445549182
2015-08-25,9830.060022017036
2015-08-26,9831.409040402028
2015-08-27,9831.623986326389
2015-08-28,9831.186691665389
2015-08-29,9830.790620578313
2015-08-30,9830.766662823899
